// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724
// command took 1.8s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724
// command took 3.99s and exited with 0
// ***** Done, took 00:00:05 (5.97 sec)   *****
// Found 4 benchmarks:
//   CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoopDic: DefaultJob

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fbecb089-516a-44c4-acb8-64951ca5f724.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaLinq" --job "Default" --benchmarkId 0 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 373449.00 ns, 373.4490 us/op
WorkloadJitting  1: 1 op, 15926983.00 ns, 15.9270 ms/op

OverheadJitting  2: 16 op, 337820.00 ns, 21.1138 us/op
WorkloadJitting  2: 16 op, 7675797.00 ns, 479.7373 us/op

WorkloadPilot    1: 16 op, 7295124.00 ns, 455.9453 us/op
WorkloadPilot    2: 32 op, 14066821.00 ns, 439.5882 us/op
WorkloadPilot    3: 64 op, 31010713.00 ns, 484.5424 us/op
WorkloadPilot    4: 128 op, 54385618.00 ns, 424.8876 us/op
WorkloadPilot    5: 256 op, 105918297.00 ns, 413.7433 us/op
WorkloadPilot    6: 512 op, 212167042.00 ns, 414.3888 us/op
WorkloadPilot    7: 1024 op, 417552703.00 ns, 407.7663 us/op
WorkloadPilot    8: 2048 op, 809751447.00 ns, 395.3864 us/op

OverheadWarmup   1: 2048 op, 6147.00 ns, 3.0015 ns/op
OverheadWarmup   2: 2048 op, 3868.00 ns, 1.8887 ns/op
OverheadWarmup   3: 2048 op, 3569.00 ns, 1.7427 ns/op
OverheadWarmup   4: 2048 op, 3772.00 ns, 1.8418 ns/op
OverheadWarmup   5: 2048 op, 4883.00 ns, 2.3843 ns/op
OverheadWarmup   6: 2048 op, 18039.00 ns, 8.8081 ns/op
OverheadWarmup   7: 2048 op, 3670.00 ns, 1.7920 ns/op
OverheadWarmup   8: 2048 op, 4272.00 ns, 2.0859 ns/op
OverheadWarmup   9: 2048 op, 4654.00 ns, 2.2725 ns/op
OverheadWarmup  10: 2048 op, 3688.00 ns, 1.8008 ns/op

OverheadActual   1: 2048 op, 3772.00 ns, 1.8418 ns/op
OverheadActual   2: 2048 op, 3849.00 ns, 1.8794 ns/op
OverheadActual   3: 2048 op, 3933.00 ns, 1.9204 ns/op
