// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 2.12s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 4.18s and exited with 0
// ***** Done, took 00:00:06 (6.47 sec)   *****
// Found 4 benchmarks:
//   CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: DefaultJob

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaLinq" --job "Default" --benchmarkId 0 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 309595.00 ns, 309.5950 us/op
WorkloadJitting  1: 1 op, 25011924.00 ns, 25.0119 ms/op

OverheadJitting  2: 16 op, 292072.00 ns, 18.2545 us/op
WorkloadJitting  2: 16 op, 172385909.00 ns, 10.7741 ms/op

WorkloadPilot    1: 16 op, 163274310.00 ns, 10.2046 ms/op
WorkloadPilot    2: 32 op, 342471648.00 ns, 10.7022 ms/op
WorkloadPilot    3: 64 op, 655896687.00 ns, 10.2484 ms/op

OverheadWarmup   1: 64 op, 3104.00 ns, 48.5000 ns/op
OverheadWarmup   2: 64 op, 711.00 ns, 11.1094 ns/op
OverheadWarmup   3: 64 op, 717.00 ns, 11.2031 ns/op
OverheadWarmup   4: 64 op, 647.00 ns, 10.1094 ns/op
OverheadWarmup   5: 64 op, 612.00 ns, 9.5625 ns/op
OverheadWarmup   6: 64 op, 703.00 ns, 10.9844 ns/op
OverheadWarmup   7: 64 op, 437.00 ns, 6.8281 ns/op

OverheadActual   1: 64 op, 579.00 ns, 9.0469 ns/op
OverheadActual   2: 64 op, 640.00 ns, 10.0000 ns/op
OverheadActual   3: 64 op, 553.00 ns, 8.6406 ns/op
OverheadActual   4: 64 op, 662.00 ns, 10.3438 ns/op
OverheadActual   5: 64 op, 551.00 ns, 8.6094 ns/op
OverheadActual   6: 64 op, 399.00 ns, 6.2344 ns/op
OverheadActual   7: 64 op, 377.00 ns, 5.8906 ns/op
OverheadActual   8: 64 op, 1332.00 ns, 20.8125 ns/op
OverheadActual   9: 64 op, 402.00 ns, 6.2813 ns/op
OverheadActual  10: 64 op, 429.00 ns, 6.7031 ns/op
OverheadActual  11: 64 op, 488.00 ns, 7.6250 ns/op
OverheadActual  12: 64 op, 387.00 ns, 6.0469 ns/op
OverheadActual  13: 64 op, 547.00 ns, 8.5469 ns/op
OverheadActual  14: 64 op, 483.00 ns, 7.5469 ns/op
OverheadActual  15: 64 op, 398.00 ns, 6.2188 ns/op
OverheadActual  16: 64 op, 399.00 ns, 6.2344 ns/op
OverheadActual  17: 64 op, 411.00 ns, 6.4219 ns/op
OverheadActual  18: 64 op, 624.00 ns, 9.7500 ns/op
OverheadActual  19: 64 op, 1834.00 ns, 28.6563 ns/op
OverheadActual  20: 64 op, 814.00 ns, 12.7188 ns/op

